wavelength_nm,HDPE_white_GDS384,HDPE_black_GDS351,LDPE_white_GDS404,PET_clear_GDS380,PET_brown_GDS379,Polystyrene_blue_GDS345,ABS_black_GDS341,Polyester_black_GDS434,Nylon_olive_GDS428,Cotton_white_GDS437,Concrete_grey_GDS375,Brick_red_GDS349,Asphalt_black_GDS376,Asphalt_tar_GDS346,Cedar_fresh_GDS357,Cedar_weathered_GDS361,Pine_beam_GDS363,GreenVeg_aspen,DryGrass_golden_GDS480,DryNPV_Dspicata,BareSoil_playa,Water_turbid,IronOxide_GDS782,Goethite_GDS134,Cellulose_SAC6288,Lignin_SA370959
372,0.112343,0.127893,0.075113,0.353941,0.014427,0.447991,0.026123,0.019681,0.066086,0.206025,0.161365,0.053793,0.055755,0.026663,0.023414,0.074931,0.076692,,0.027448,0.133697,0.149032,0.050735,0.013824,0.017311,0.813055,0.013709
373,0.114958,0.128264,0.078397,0.360560,0.014240,0.451357,0.026105,0.019467,0.065711,0.206804,0.162060,0.053830,0.055847,0.026653,0.023602,0.075205,0.077669,,0.027705,0.133670,0.149927,0.052052,0.014097,0.017357,0.814449,0.013716
374,0.117749,0.128667,0.081904,0.366801,0.014005,0.454960,0.026081,0.019235,0.065322,0.207676,0.162775,0.053885,0.055941,0.026620,0.023756,0.075420,0.078680,,0.027972,0.134086,0.150866,0.054579,0.013955,0.017402,0.815704,0.013749
375,0.120723,0.129067,0.085640,0.372644,0.013723,0.458813,0.026072,0.018999,0.064922,0.208654,0.163518,0.053939,0.056057,0.026580,0.023898,0.075598,0.079726,,0.028274,0.134016,0.151821,0.057274,0.013619,0.017451,0.816656,0.013812
376,0.123906,0.129441,0.089633,0.378081,0.013399,0.462926,0.026091,0.018784,0.064512,0.209761,0.164299,0.053966,0.056208,0.026547,0.024070,0.075787,0.080816,,0.028630,0.133946,0.152772,0.059286,0.013590,0.017508,0.817337,0.013915
377,0.127324,0.129804,0.093911,0.383151,0.013046,0.467321,0.026130,0.018611,0.064091,0.211019,0.165125,0.053943,0.056381,0.026529,0.024308,0.076035,0.081957,,0.029012,0.133849,0.153735,0.060547,0.013656,0.017573,0.818133,0.013854
378,0.131022,0.130183,0.098515,0.387908,0.012678,0.472017,0.026175,0.018474,0.063655,0.212462,0.165987,0.053889,0.056557,0.026531,0.024593,0.076345,0.083170,,0.029385,0.133840,0.154734,0.061184,0.013708,0.017644,0.819396,0.013875
379,0.135056,0.130598,0.103489,0.392396,0.012307,0.477027,0.026212,0.018348,0.063191,0.214126,0.166858,0.053846,0.056722,0.026555,0.024873,0.076694,0.084480,,0.029726,0.134485,0.155785,0.061307,0.013686,0.017719,0.820978,0.014009
380,0.139478,0.131050,0.108879,0.396627,0.011932,0.482322,0.026240,0.018208,0.062690,0.216047,0.167719,0.053851,0.056879,0.026584,0.025102,0.077062,0.085909,,0.030070,0.134502,0.156881,0.060951,0.014623,0.017782,0.822165,0.013978
381,0.144314,0.131530,0.114731,0.400605,0.011549,0.487867,0.026259,0.018033,0.062145,0.218224,0.168567,0.053896,0.057032,0.026595,0.025286,0.077423,0.087446,,0.030466,0.134216,0.158008,0.060137,0.015012,0.017818,0.823268,0.013955
