gml_id,fonte,comune_istat,area_m2,n_px,strip,sr_coastalblue,sr_blue,sr_greeni,sr_green,sr_yellow,sr_red,sr_rededge,sr_nir,ndvi
Mappatura_2020.5057,Mappatura_2020,03108028,1591.6,176,20260512_101812_73_2553_3B,0.1559,0.18000000000000002,0.20055,0.20120000000000002,0.2051,0.21050000000000002,0.2156,0.24345,0.0726
Mappatura_2020.5060,Mappatura_2020,03108028,38.9,5,20260512_101812_73_2553_3B,0.0688,0.0789,0.0984,0.1048,0.10650000000000001,0.10650000000000001,0.133,0.22540000000000002,0.3582
Mappatura_2020.5063,Mappatura_2020,03108028,249.2,28,20260512_101812_73_2553_3B,0.20220000000000002,0.2398,0.2723,0.27805,0.27205,0.2843,0.28165,0.32285,0.0635
Mappatura_2020.5065,Mappatura_2020,03108028,35.1,5,20260512_101812_73_2553_3B,0.07400000000000001,0.0794,0.0944,0.0935,0.11270000000000001,0.1067,0.12510000000000002,0.1749,0.2422
Mappatura_2020.5066,Mappatura_2020,03108028,131.8,13,20260512_101812_73_2553_3B,0.0716,0.08700000000000001,0.11410000000000001,0.1277,0.1383,0.1476,0.1787,0.2446,0.2473
Mappatura_2020.5067,Mappatura_2020,03108028,128.1,15,20260512_101812_73_2553_3B,0.19110000000000002,0.2263,0.262,0.2549,0.2499,0.25680000000000003,0.25670000000000004,0.2776,0.0389
Mappatura_2020.5071,Mappatura_2020,03108028,68.8,7,20260512_101812_73_2553_3B,0.060500000000000005,0.0698,0.07730000000000001,0.0799,0.0984,0.0918,0.11460000000000001,0.16190000000000002,0.2763
Mappatura_2020.5072,Mappatura_2020,03108028,493.6,54,20260512_101812_73_2553_3B,0.22295,0.26,0.29115,0.29365,0.2866,0.2973,0.2911,0.318,0.0336
Mappatura_2020.5074,Mappatura_2020,03108028,38.1,6,20260512_101812_73_2553_3B,0.0629,0.06810000000000001,0.07985,0.0824,0.09265000000000001,0.08645,0.1061,0.16725,0.3185
Mappatura_2020.5075,Mappatura_2020,03108028,1609.2,178,20260512_101812_73_2553_3B,0.26485000000000003,0.29905000000000004,0.3271,0.3269,0.33175,0.34015,0.34440000000000004,0.3563,0.0232
Mappatura_2020.5076,Mappatura_2020,03108028,38.3,6,20260512_101812_73_2553_3B,0.08015,0.09355000000000001,0.11545000000000001,0.1164,0.1313,0.13175,0.1502,0.21530000000000002,0.2407
Mappatura_2020.5077,Mappatura_2020,03108028,118.2,14,20260512_101812_73_2553_3B,0.08295000000000001,0.1008,0.11860000000000001,0.12195,0.13215000000000002,0.1258,0.14685,0.2245,0.2818
Mappatura_2020.5083,Mappatura_2020,03108028,136.5,15,20260512_101812_73_2553_3B,0.0746,0.0869,0.1047,0.11030000000000001,0.1148,0.1194,0.1322,0.1962,0.2433
Mappatura_2020.5085,Mappatura_2020,03108028,102.0,13,20260512_101812_73_2553_3B,0.0874,0.097,0.11610000000000001,0.12890000000000001,0.15080000000000002,0.1507,0.1753,0.23270000000000002,0.2139
Mappatura_2020.5086,Mappatura_2020,03108028,2519.6,280,20260512_101812_73_2553_3B,0.0995,0.10990000000000001,0.1287,0.1359,0.15025,0.14980000000000002,0.167,0.23615,0.2237
Mappatura_2020.5088,Mappatura_2020,03108028,43.9,5,20260512_101812_73_2553_3B,0.0733,0.0888,0.1009,0.10700000000000001,0.1063,0.114,0.1328,0.2305,0.3382
Mappatura_2020.5091,Mappatura_2020,03108028,201.0,23,20260512_101812_73_2553_3B,0.12510000000000002,0.1301,0.1623,0.16970000000000002,0.1869,0.1728,0.20950000000000002,0.26580000000000004,0.212
Mappatura_2020.5092,Mappatura_2020,03108028,754.6,83,20260512_101812_73_2553_3B,0.1509,0.1683,0.1991,0.2048,0.20620000000000002,0.2151,0.22710000000000002,0.2697,0.1126
Mappatura_2020.5093,Mappatura_2020,03108028,200.4,23,20260512_101812_73_2553_3B,0.07010000000000001,0.0818,0.097,0.1003,0.1042,0.1077,0.1275,0.2126,0.3275
Mappatura_2020.5098,Mappatura_2020,03108028,220.7,26,20260512_101812_73_2553_3B,0.07145,0.08125,0.09295,0.09960000000000001,0.1129,0.11015000000000001,0.12815000000000001,0.1908,0.268
Mappatura_2020.5100,Mappatura_2020,03108028,113.1,15,20260512_101812_73_2553_3B,0.10010000000000001,0.10890000000000001,0.1303,0.1345,0.155,0.1506,0.1675,0.2214,0.1903
Mappatura_2020.5104,Mappatura_2020,03108028,212.0,23,20260512_101812_73_2553_3B,0.1491,0.195,0.2255,0.2238,0.21450000000000002,0.24200000000000002,0.22760000000000002,0.253,0.0222
Mappatura_2020.5105,Mappatura_2020,03108028,53.3,7,20260512_101812_73_2553_3B,0.0611,0.07830000000000001,0.0891,0.0955,0.1033,0.10490000000000001,0.12440000000000001,0.18960000000000002,0.2876
