gml_id,fonte,comune_istat,area_m2,n_px,strip,sr_blue,sr_green,sr_red,sr_nir,ndvi
Mappature_precedenti.264,PRAL,03012033,258.1,32,20260330_105816_37_2514_3B,0.2511,0.2752,0.28350000000000003,0.32995,0.0757
Mappature_precedenti.266,PRAL,03012033,890.8,100,20260330_105816_37_2514_3B,0.2341,0.25485,0.2619,0.29595,0.061
Mappature_precedenti.267,PRAL,03012033,339.1,35,20260330_105816_37_2514_3B,0.264,0.2841,0.29050000000000004,0.31120000000000003,0.0344
Mappature_precedenti.271,PRAL,03012033,43.2,5,20260330_105816_37_2514_3B,0.0791,0.1082,0.17400000000000002,0.24300000000000002,0.1655
Mappature_precedenti.273,PRAL,03012033,104.9,13,20260330_105816_37_2514_3B,0.25730000000000003,0.2748,0.2772,0.2964,0.0335
Mappature_precedenti.274,PRAL,03012033,84.1,11,20260330_105816_37_2514_3B,0.2394,0.2525,0.26780000000000004,0.30960000000000004,0.0724
Mappature_precedenti.278,PRAL,03012033,190.8,21,20260330_105816_37_2514_3B,0.07930000000000001,0.109,0.129,0.2666,0.3478
Mappature_precedenti.283,PRAL,03012033,503.8,57,20260330_105816_37_2514_3B,0.1116,0.1242,0.135,0.24230000000000002,0.2844
Mappature_precedenti.284,PRAL,03012033,327.3,35,20260330_105816_37_2514_3B,0.128,0.1434,0.16140000000000002,0.23550000000000001,0.1867
Mappature_precedenti.285,PRAL,03012033,78.0,8,20260330_105816_37_2514_3B,0.09860000000000001,0.10835,0.12095,0.2112,0.2717
Mappature_precedenti.286,PRAL,03012033,60.1,6,20260330_105816_37_2514_3B,0.06425,0.08345000000000001,0.12195,0.221,0.2888
Mappature_precedenti.290,PRAL,03012033,78.3,8,20260330_105816_37_2514_3B,0.20220000000000002,0.21975,0.22145,0.28005,0.1168
Mappature_precedenti.291,PRAL,03012033,85.1,11,20260330_105816_37_2514_3B,0.263,0.28140000000000004,0.28400000000000003,0.3095,0.043
Mappature_precedenti.306,PRAL,03012136,243.6,27,20260330_105816_37_2514_3B,0.1087,0.1232,0.1403,0.22030000000000002,0.2219
Mappature_precedenti.307,PRAL,03012136,495.4,55,20260330_105816_37_2514_3B,0.2659,0.2952,0.3069,0.3289,0.0346
Mappature_precedenti.310,PRAL,03012136,71.1,9,20260330_105816_37_2514_3B,0.0839,0.0981,0.1106,0.1676,0.2049
Mappature_precedenti.312,PRAL,03012136,160.8,19,20260330_105816_37_2514_3B,0.0844,0.0964,0.10790000000000001,0.1703,0.2243
Mappature_precedenti.313,PRAL,03012136,452.1,49,20260330_105816_37_2514_3B,0.0828,0.0955,0.10110000000000001,0.2311,0.3913
Mappature_precedenti.317,PRAL,03012136,76.4,8,20260330_105816_37_2514_3B,0.07640000000000001,0.08660000000000001,0.10225000000000001,0.17250000000000001,0.2557
Mappature_precedenti.319,PRAL,03012136,71.5,11,20260330_105816_37_2514_3B,0.07590000000000001,0.0893,0.10060000000000001,0.149,0.1939
Mappature_precedenti.320,PRAL,03012136,91.4,10,20260330_105816_37_2514_3B,0.1043,0.1109,0.12055,0.16155,0.1453
Mappature_precedenti.321,PRAL,03012136,382.4,42,20260330_105816_37_2514_3B,0.06885000000000001,0.0809,0.09330000000000001,0.14675000000000002,0.2227
Mappature_precedenti.322,PRAL,03012136,233.0,27,20260330_105816_37_2514_3B,0.1095,0.1264,0.1444,0.24480000000000002,0.258
Mappature_precedenti.323,PRAL,03012136,171.9,20,20260330_105816_37_2514_3B,0.24880000000000002,0.2566,0.2787,0.28535,0.0118
Mappature_precedenti.324,PRAL,03012136,274.9,30,20260330_105816_37_2514_3B,0.12810000000000002,0.14265,0.15940000000000001,0.24695,0.2155
Mappature_precedenti.328,PRAL,03012136,149.5,18,20260330_105816_37_2514_3B,0.10880000000000001,0.11885000000000001,0.1277,0.15585000000000002,0.0993
Mappature_precedenti.330,PRAL,03012137,277.8,32,20260330_105816_37_2514_3B,0.1017,0.11895,0.135,0.21485,0.2282
Mappature_precedenti.331,PRAL,03012137,205.5,23,20260330_105816_37_2514_3B,0.2459,0.2931,0.2866,0.3216,0.0575
Mappature_precedenti.336,PRAL,03012137,2088.0,230,20260330_105816_37_2514_3B,0.11455,0.1326,0.1525,0.23800000000000002,0.219
Mappature_precedenti.339,PRAL,03012137,2219.9,245,20260330_105816_37_2514_3B,0.1252,0.1451,0.1597,0.2564,0.2324
Mappature_precedenti.341,PRAL,03012137,974.6,108,20260330_105816_37_2514_3B,0.24650000000000002,0.24280000000000002,0.2645,0.24380000000000002,-0.0407
Mappature_precedenti.342,PRAL,03012137,146.9,16,20260330_105816_37_2514_3B,0.20040000000000002,0.20725000000000002,0.22615000000000002,0.23925000000000002,0.0281
Mappature_precedenti.345,PRAL,03012137,213.7,20,20260330_105816_37_2514_3B,0.2654,0.30810000000000004,0.30995,0.3033,-0.0108
Mappature_precedenti.346,PRAL,03012137,44.5,6,20260330_105816_37_2514_3B,0.08395000000000001,0.10365,0.11560000000000001,0.21185,0.2939
Mappature_precedenti.349,PRAL,03012137,121.0,14,20260330_105816_37_2514_3B,0.2331,0.22835,0.25570000000000004,0.2508,-0.0097
Mappature_precedenti.350,PRAL,03012137,82.3,9,20260330_105816_37_2514_3B,0.06470000000000001,0.0872,0.1254,0.17750000000000002,0.172
Mappature_precedenti.351,PRAL,03012137,55.4,8,20260330_105816_37_2514_3B,0.07705000000000001,0.0863,0.09870000000000001,0.16655,0.2558
Mappature_precedenti.353,PRAL,03012127,302.0,35,20260330_105816_37_2514_3B,0.23800000000000002,0.2554,0.2756,0.2711,-0.0082
Mappature_precedenti.354,PRAL,03012127,132.9,15,20260330_105816_37_2514_3B,0.2485,0.2636,0.27080000000000004,0.252,-0.036
Mappature_precedenti.355,PRAL,03012127,253.9,29,20260330_105816_37_2514_3B,0.10500000000000001,0.1274,0.1317,0.23570000000000002,0.2831
Mappature_precedenti.357,PRAL,03012127,493.6,56,20260330_105816_37_2514_3B,0.19275,0.19935,0.20950000000000002,0.198,-0.0282
Mappature_precedenti.359,PRAL,03012127,664.1,67,20260330_105816_37_2514_3B,0.21200000000000002,0.2371,0.2419,0.24480000000000002,0.006
Mappature_precedenti.361,PRAL,03012127,92.8,10,20260330_105816_37_2514_3B,0.2175,0.24025000000000002,0.24315,0.2521,0.0181
Mappature_precedenti.362,PRAL,03012127,243.4,29,20260330_105816_37_2514_3B,0.0621,0.0654,0.0731,0.1046,0.1773
Mappature_precedenti.363,PRAL,03012127,443.9,50,20260330_105816_37_2514_3B,0.083,0.0921,0.0998,0.1416,0.1732
Mappature_precedenti.365,PRAL,03012127,269.2,29,20260330_105816_37_2514_3B,0.2378,0.27030000000000004,0.2762,0.2831,0.0123
