band,center_nm,Chrysotile HS323.1B,Chrysotile coarse fib,Chrysotile fine fib,Tremolite,Actinolite,Antigorite,Concrete (road),Brick red (terracotta),Asphalt tar roof,Asphalt shingle grey,Fiberglass roofing white,Galvanized metal roof,AC roof new,AC roof moderate,AC roof weathered
S1,1210,0.90448,0.30164,0.13613,0.80641,0.30026,0.17733,0.31560,0.19071,0.02599,0.09163,0.65504,0.09118,0.37449,0.46282,0.55116
S2,1570,0.89907,0.33216,0.14328,0.87140,0.54711,0.35007,0.33377,0.19532,0.02671,0.08620,0.64580,0.11498,0.39030,0.47510,0.55989
S3,1660,0.89796,0.34421,0.14359,0.87556,0.58794,0.39300,0.34220,0.19875,0.02681,0.08509,0.39834,0.11661,0.39777,0.48114,0.56450
S4,1730,0.89399,0.33989,0.14162,0.87559,0.61167,0.41644,0.34732,0.19896,0.02678,0.08417,0.38999,0.11834,0.40199,0.48399,0.56599
S5,2165,0.85999,0.23536,0.12498,0.76015,0.53539,0.39021,0.34295,0.17671,0.02722,0.07829,0.29775,0.12278,0.39466,0.47221,0.54977
S6,2205,0.85439,0.22984,0.12384,0.75708,0.51765,0.37922,0.33596,0.17198,0.02719,0.07501,0.33354,0.12279,0.38780,0.46557,0.54333
S7,2260,0.79661,0.15644,0.10656,0.62280,0.42109,0.23115,0.33260,0.16839,0.02697,0.07487,0.27628,0.12318,0.37900,0.44861,0.51821
S8,2330,0.71023,0.11482,0.08802,0.50630,0.32322,0.14915,0.31881,0.15990,0.02680,0.07292,0.25052,0.12396,0.35795,0.41666,0.47538
