band,center_nm,Chrysotile HS323.1B,Chrysotile coarse fib,Chrysotile fine fib,Tremolite,Actinolite,Antigorite,Concrete (road),Brick red (terracotta),Asphalt tar roof,Asphalt shingle grey,Fiberglass roofing white,Galvanized metal roof,AC roof new,AC roof moderate,AC roof weathered
CB,443,0.86537,0.40215,0.11936,0.70731,0.18023,0.17701,0.21803,0.05549,0.02574,0.09381,0.81797,0.09303,0.28276,0.37986,0.47696
B,490,0.88721,0.46892,0.13574,0.73622,0.21857,0.20104,0.24588,0.05839,0.02549,0.09582,0.83518,0.09191,0.31000,0.40620,0.50240
GI,531,0.89959,0.50555,0.14760,0.75425,0.23240,0.20781,0.27331,0.06506,0.02530,0.10059,0.84101,0.08978,0.33559,0.42959,0.52359
G,565,0.90399,0.50861,0.15223,0.76520,0.22525,0.19729,0.29419,0.09258,0.02517,0.10030,0.83858,0.08715,0.35092,0.44310,0.53527
Y,610,0.90833,0.48129,0.15284,0.77436,0.20728,0.17705,0.30984,0.15669,0.02505,0.09872,0.82853,0.08265,0.36984,0.45959,0.54933
R,665,0.90832,0.42498,0.14715,0.78002,0.18786,0.15510,0.31502,0.17427,0.02480,0.10112,0.81868,0.07767,0.37435,0.46335,0.55234
RE,705,0.90799,0.39415,0.14288,0.78437,0.18382,0.14650,0.31725,0.18386,0.02465,0.10250,0.81166,0.07476,0.37632,0.46493,0.55354
NIR,865,0.90735,0.35814,0.13988,0.76093,0.19236,0.15415,0.31252,0.17354,0.02414,0.10073,0.77551,0.06136,0.37201,0.46123,0.55046
