wavelength_nm,Chrysotile HS323.1B,Chrysotile coarse fib,Chrysotile fine fib,Tremolite,Actinolite,Antigorite,Concrete (road),Brick red (terracotta),Asphalt tar roof,Asphalt shingle grey,Fiberglass roofing white,Galvanized metal roof,AC roof new,AC roof moderate,AC roof weathered
388.0,0.82394,0.38794,0.10259,0.65257,0.12879,0.15288,0.17459,0.05391,0.02640,0.08086,0.38035,0.09324,0.23952,0.33693,0.43433
389.0,0.82497,0.38962,0.10301,0.65419,0.12930,0.15332,0.17547,0.05392,0.02641,0.08174,0.38849,0.09319,0.24042,0.33784,0.43527
390.0,0.82619,0.39147,0.10342,0.65599,0.13053,0.15383,0.17634,0.05393,0.02641,0.08265,0.39742,0.09314,0.24133,0.33881,0.43628
391.0,0.82795,0.39350,0.10384,0.65726,0.13166,0.15442,0.17720,0.05396,0.02640,0.08358,0.40719,0.09308,0.24228,0.33989,0.43750
392.0,0.82934,0.39565,0.10427,0.65884,0.13234,0.15491,0.17803,0.05401,0.02637,0.08453,0.41788,0.09303,0.24316,0.34086,0.43856
393.0,0.83062,0.39784,0.10471,0.66049,0.13297,0.15529,0.17884,0.05406,0.02634,0.08550,0.42954,0.09298,0.24402,0.34179,0.43955
394.0,0.83197,0.40002,0.10516,0.66155,0.13399,0.15561,0.17964,0.05409,0.02632,0.08648,0.44219,0.09294,0.24487,0.34272,0.44057
395.0,0.83347,0.40207,0.10561,0.66288,0.13469,0.15598,0.18044,0.05408,0.02630,0.08746,0.45589,0.09291,0.24574,0.34370,0.44165
396.0,0.83472,0.40390,0.10602,0.66452,0.13514,0.15617,0.18125,0.05403,0.02627,0.08843,0.47057,0.09288,0.24660,0.34462,0.44264
397.0,0.83598,0.40542,0.10637,0.66608,0.13567,0.15638,0.18206,0.05399,0.02624,0.08938,0.48612,0.09285,0.24745,0.34554,0.44362
398.0,0.83727,0.40664,0.10668,0.66727,0.13666,0.15663,0.18285,0.05399,0.02621,0.09026,0.50244,0.09282,0.24829,0.34645,0.44462
399.0,0.83820,0.40759,0.10698,0.66822,0.13737,0.15667,0.18363,0.05401,0.02618,0.09109,0.51943,0.09278,0.24908,0.34727,0.44546
400.0,0.83925,0.40829,0.10727,0.66921,0.13797,0.15666,0.18439,0.05404,0.02617,0.09188,0.53698,0.09276,0.24987,0.34810,0.44633
401.0,0.84036,0.40876,0.10756,0.67026,0.13957,0.15668,0.18514,0.05406,0.02616,0.09263,0.55497,0.09273,0.25066,0.34894,0.44722
402.0,0.84135,0.40903,0.10782,0.67137,0.14023,0.15678,0.18587,0.05406,0.02615,0.09333,0.57323,0.09271,0.25142,0.34974,0.44806
403.0,0.84214,0.40912,0.10806,0.67229,0.14053,0.15685,0.18660,0.05406,0.02615,0.09398,0.59152,0.09270,0.25216,0.35049,0.44882
404.0,0.84297,0.40906,0.10829,0.67298,0.14153,0.15701,0.18733,0.05407,0.02614,0.09454,0.60962,0.09268,0.25290,0.35124,0.44959
